program, simb_program
leimprime, id
;, simb_semicolon
const, simb_const
b, id
=, simb_equal
;, simb_semicolon
var, simb_var
x, id
:, simb_colon
real, simb_real
;, simb_semicolon
procedure, simb_proc
nomep, id
(, simb_lpar
x, id
:, simb_colon
real, simb_real
), simb_rpar
;, simb_semicolon
var, simb_var
y, id
:, simb_colon
integer, simb_type
;, simb_semicolon
var, simb_var
a, id
,, simb_comma
c, id
:, simb_colon
integer, simb_type
;, simb_semicolon
begin, simb_begin
x, id
:=, simb_atrib
2.5, real_number
;, simb_semicolon
read, simb_read
(, simb_lpar
c, id
,, simb_comma
a, id
), simb_rpar
;, simb_semicolon
if, simb_if
a, id
<, simb_lesser
x, id
+, simb_plus
c, id
then, simb_then
begin, simb_begin
a, id
:=, simb_atrib
c, id
+, simb_plus
3, integer_number
;, simb_semicolon
write, simb_write
(, simb_lpar
a, id
), simb_rpar
;, simb_semicolon
end, simb_end
else, simb_else
c, id
:=, simb_atrib
a, id
+, simb_plus
3, integer_number
;, simb_semicolon
end, simb_end
;, simb_semicolon
begin, simb_begin
read, simb_read
(, simb_lpar
b, id
), simb_rpar
;, simb_semicolon
nomep, id
(, simb_lpar
x, id
), simb_rpar
;, simb_semicolon
end, simb_end
., simb_dot
